datetime,AccX,AccY,AccZ
2025-11-13 23:04:47.783,-0.021,-1.001,0.071
2025-11-13 23:04:47.784,-0.021,-1.003,0.073
2025-11-13 23:04:47.784,-0.021,-1.005,0.072
2025-11-13 23:04:47.784,-0.02,-1.004,0.073
2025-11-13 23:04:47.784,-0.021,-1.002,0.071
2025-11-13 23:04:47.784,-0.022,-1.002,0.073
2025-11-13 23:04:47.784,-0.021,-1.004,0.071
2025-11-13 23:04:47.784,-0.021,-1.005,0.072
2025-11-13 23:04:47.784,-0.021,-1.003,0.072
2025-11-13 23:04:47.784,-0.021,-1.002,0.072
2025-11-13 23:04:47.784,-0.021,-1.002,0.072
2025-11-13 23:04:47.784,-0.019,-1.003,0.072
,-0.022,-1.004,0.072
,-0.021,-1.002,0.073
,-0.021,-1.003,0.071
,-0.023,-1.003,0.072
2025-11-13 23:04:47.790,-0.022,-1.004,0.072
2025-11-13 23:04:47.790,-0.021,-1.002,0.073
2025-11-13 23:04:47.790,-0.021,-1.003,0.071
2025-11-13 23:04:47.790,-0.023,-1.003,0.072
,-0.021,-1.003,0.072
,-0.022,-1.004,0.072
,-0.021,-1.003,0.073
,-0.021,-1.001,0.072
,-0.021,-1.001,0.073
,-0.02,-1.003,0.072
,-0.021,-1.003,0.071
,-0.021,-1.003,0.073
,-0.021,-1.003,0.073
,-0.022,-1.003,0.073
,-0.02,-1.003,0.073
,-0.021,-1.0,0.071
2025-11-13 23:04:47.933,-0.021,-1.003,0.072
2025-11-13 23:04:47.933,-0.022,-1.004,0.072
2025-11-13 23:04:47.933,-0.021,-1.003,0.073
2025-11-13 23:04:47.933,-0.021,-1.001,0.072
2025-11-13 23:04:47.933,-0.021,-1.001,0.073
2025-11-13 23:04:47.933,-0.02,-1.003,0.072
2025-11-13 23:04:47.933,-0.021,-1.003,0.071
2025-11-13 23:04:47.933,-0.021,-1.003,0.073
2025-11-13 23:04:47.933,-0.021,-1.003,0.073
2025-11-13 23:04:47.933,-0.022,-1.003,0.073
2025-11-13 23:04:47.933,-0.02,-1.003,0.073
2025-11-13 23:04:47.933,-0.021,-1.0,0.071
,-0.021,-1.001,0.073
,-0.021,-1.001,0.072
,-0.022,-1.001,0.07
,-0.02,-1.0,0.073
2025-11-13 23:04:47.977,-0.021,-1.001,0.073
2025-11-13 23:04:47.977,-0.021,-1.001,0.072
2025-11-13 23:04:47.977,-0.022,-1.001,0.07
2025-11-13 23:04:47.977,-0.02,-1.0,0.073
,-0.022,-1.001,0.072
,-0.022,-1.002,0.072
,-0.021,-1.001,0.072
,-0.021,-1.001,0.072
,-0.02,-1.002,0.071
,-0.021,-1.001,0.071
,-0.021,-1.003,0.072
,-0.02,-1.004,0.072
2025-11-13 23:04:48.079,-0.022,-1.001,0.072
2025-11-13 23:04:48.079,-0.022,-1.002,0.072
2025-11-13 23:04:48.079,-0.021,-1.001,0.072
2025-11-13 23:04:48.079,-0.021,-1.001,0.072
2025-11-13 23:04:48.079,-0.02,-1.002,0.071
2025-11-13 23:04:48.079,-0.021,-1.001,0.071
2025-11-13 23:04:48.079,-0.021,-1.003,0.072
2025-11-13 23:04:48.079,-0.02,-1.004,0.072
,-0.021,-1.003,0.07
,-0.02,-1.001,0.073
,-0.021,-1.001,0.072
,-0.021,-1.002,0.073
2025-11-13 23:04:48.094,-0.021,-1.003,0.07
2025-11-13 23:04:48.094,-0.02,-1.001,0.073
2025-11-13 23:04:48.094,-0.021,-1.001,0.072
2025-11-13 23:04:48.094,-0.021,-1.002,0.073
,-0.02,-1.0,0.072
,-0.021,-1.0,0.073
,-0.02,-1.001,0.073
,-0.021,-1.0,0.072
,-0.021,-1.001,0.072
,-0.021,-1.003,0.072
,-0.022,-1.002,0.072
,-0.021,-1.001,0.073
,-0.021,-1.0,0.072
,-0.021,-1.0,0.071
,-0.021,-1.001,0.072
,-0.022,-1.002,0.072
2025-11-13 23:04:48.221,-0.02,-1.0,0.072
2025-11-13 23:04:48.221,-0.021,-1.0,0.073
2025-11-13 23:04:48.221,-0.02,-1.001,0.073
2025-11-13 23:04:48.221,-0.021,-1.0,0.072
2025-11-13 23:04:48.221,-0.021,-1.001,0.072
2025-11-13 23:04:48.221,-0.021,-1.003,0.072
2025-11-13 23:04:48.221,-0.022,-1.002,0.072
2025-11-13 23:04:48.221,-0.021,-1.001,0.073
2025-11-13 23:04:48.221,-0.021,-1.0,0.072
2025-11-13 23:04:48.221,-0.021,-1.0,0.071
2025-11-13 23:04:48.221,-0.021,-1.001,0.072
2025-11-13 23:04:48.221,-0.022,-1.002,0.072
,-0.02,-1.002,0.073
,-0.021,-1.0,0.071
,-0.022,-1.001,0.072
,-0.02,-1.001,0.073
2025-11-13 23:04:48.254,-0.02,-1.002,0.073
2025-11-13 23:04:48.254,-0.021,-1.0,0.071
2025-11-13 23:04:48.254,-0.022,-1.001,0.072
2025-11-13 23:04:48.254,-0.02,-1.001,0.073
,-0.022,-1.001,0.072
,-0.021,-1.0,0.072
,-0.021,-1.002,0.071
,-0.02,-1.001,0.073
,-0.021,-1.001,0.072
,-0.021,-1.001,0.073
,-0.021,-1.001,0.073
,-0.022,-1.003,0.072
,-0.02,-1.0,0.073
,-0.021,-1.001,0.071
,-0.02,-1.002,0.072
,-0.02,-1.003,0.072
2025-11-13 23:04:48.376,-0.022,-1.001,0.072
2025-11-13 23:04:48.376,-0.021,-1.0,0.072
2025-11-13 23:04:48.376,-0.021,-1.002,0.071
2025-11-13 23:04:48.376,-0.02,-1.001,0.073
2025-11-13 23:04:48.377,-0.021,-1.001,0.072
2025-11-13 23:04:48.377,-0.021,-1.001,0.073
2025-11-13 23:04:48.377,-0.021,-1.001,0.073
2025-11-13 23:04:48.377,-0.022,-1.003,0.072
2025-11-13 23:04:48.377,-0.02,-1.0,0.073
2025-11-13 23:04:48.377,-0.021,-1.001,0.071
2025-11-13 23:04:48.377,-0.02,-1.002,0.072
2025-11-13 23:04:48.377,-0.02,-1.003,0.072
,-0.021,-1.002,0.072
,-0.02,-1.002,0.073
,-0.021,-1.002,0.071
,-0.021,-1.002,0.073
2025-11-13 23:04:48.423,-0.021,-1.002,0.072
2025-11-13 23:04:48.423,-0.02,-1.002,0.073
2025-11-13 23:04:48.423,-0.021,-1.002,0.071
2025-11-13 23:04:48.423,-0.021,-1.002,0.073
,-0.021,-1.002,0.072
,-0.022,-1.003,0.071
,-0.021,-1.002,0.073
,-0.021,-1.002,0.072
,-0.021,-1.003,0.073
,-0.02,-1.002,0.073
,-0.021,-1.005,0.072
,-0.02,-1.002,0.073
2025-11-13 23:04:48.534,-0.021,-1.002,0.072
2025-11-13 23:04:48.534,-0.022,-1.003,0.071
